City,State,Page,MAT0320,INST0320,TOTAL0320,MAT07,INST07,TOTAL07,MAT,INST,TOTAL
30 CITY Average,ALABAMA,1,100,100,100,100,100,100,100,100,100
ANNISTON,ALABAMA,1,88.4,69,82.2,98.2,60.7,81.8,97.5,65.3,84.4
BIRMINGHAM,ALABAMA,1,99,69.2,89.4,99.5,66.5,85,99.4,71,87.8
BUTLER,ALABAMA,1,93.2,69.9,85.7,98.2,64.3,83.3,97.4,68.2,85.5
DECATUR,ALABAMA,1,92.2,66.8,84.1,96.5,63.8,82.1,98.1,68.6,86.1
DOTHAN,ALABAMA,1,93.2,69.3,85.5,98.3,63.9,83.2,97.8,71.7,87.1
EVERGREEN,ALABAMA,1,93.3,69.9,85.7,98.1,63.3,82.8,97.2,66.4,84.7
GADSDEN,ALABAMA,1,97.4,69.2,88.3,96.6,64.2,82.4,98.2,69.8,86.6
HUNTSVILLE,ALABAMA,1,92.2,77.2,87.4,96.4,64.3,82.3,98.1,70.1,86.7
JASPER,ALABAMA,1,92.2,69.1,84.8,96.7,63.5,82.2,98.7,68.2,86.3
MOBILE,ALABAMA,1,91.5,69.9,84.6,97.9,63.8,82.9,98.4,68.2,86.1
MONTGOMERY,ALABAMA,1,100.5,69.2,90.5,98.9,66.2,84.6,98.8,71.7,87.8
PHENIXCITY,ALABAMA,1,93.2,66.6,84.7,98.6,64.2,83.6,98.1,69.7,86.5
SELMA,ALABAMA,1,93.2,69.1,85.5,98,64,83.1,97.3,69.8,86.1
TUSCALOOSA,ALABAMA,1,92.2,69.2,84.8,96.5,64.6,82.5,98.1,70.2,86.8
ANCHORAGE,ALASKA,1,124.6,118.4,122.6,134.6,111.6,124.5,117.1,108.7,113.7
FAIRBANKS,ALASKA,1,120.1,118.4,119.5,143.8,110.2,129.1,117.8,109.2,114.3
JUNEAU,ALASKA,1,124.6,118.4,122.6,145.8,111.6,130.8,118.2,108.7,114.3
KETCHIKAN,ALASKA,2,94.6,118.4,102.3,151.1,109.9,133,128.9,109.3,120.9
CHAMBERS,ARIZONA,2,89.8,73.3,84.5,101.8,68.1,87,96.5,70.3,85.8
FLAGSTAFF,ARIZONA,2,89.7,73.4,84.5,103.9,69.5,88.8,100.4,71.5,88.6
GLOBE,ARIZONA,2,83.4,73.3,80.1,99.7,66.8,85.3,96.3,69.8,85.5
KINGMAN,ARIZONA,2,89.9,73.3,84.5,101.7,67.9,86.9,96.3,69,85.2
MESA/TEMPE,ARIZONA,2,83.9,73.3,80.5,99.4,67.5,85.4,96.2,70.5,85.7
PHOENIX,ARIZONA,2,80.1,73.4,77.9,100.3,69.8,86.9,98.8,72.6,88.1
PRESCOTT,ARIZONA,2,89.7,73.3,84.4,102.4,68.8,87.7,98.1,70.3,86.8
SHOWLOW,ARIZONA,2,83.9,73.3,80.5,100.1,66.8,85.5,96.7,69.9,85.8
TUCSON,ARIZONA,2,68.9,73.4,70.3,100.5,68.9,86.6,95.1,71.9,85.7
BATESVILLE,ARKANSAS,2,97.1,65.9,87.1,103.2,59.7,84.1,91.1,61.7,79.1
CAMDEN,ARKANSAS,2,96.6,67,87.1,98.5,60.3,81.7,92.3,62.7,80.3
FAYETTEVILLE,ARKANSAS,2,97.1,63.7,86.4,104.1,60.3,84.9,90.2,62.9,79.1
FORTSMITH,ARKANSAS,2,98.3,64.7,87.5,104.8,60.1,85.2,94.3,61.6,81
HARRISON,ARKANSAS,2,96.7,67,87.1,103.6,60.3,84.6,92.5,61,79.7
HOTSPRINGS,ARKANSAS,2,94.9,66.8,85.8,98.7,59.3,81.4,91.7,61.9,79.6
JONESBORO,ARKANSAS,2,94.5,66.7,85.6,108.5,60.1,87.3,93.4,65.2,81.9
LITTLEROCK,ARKANSAS,2,99.6,67.2,89.2,98.7,61.7,82.5,95.3,62.7,82
PINEBLUFF,ARKANSAS,3,96.6,67.2,87.2,98.8,60.4,82,94.2,62.4,81.3
RUSSELLVILLE,ARKANSAS,3,97.7,66.8,87.8,104.4,59.3,84.6,91.5,60.8,79
TEXARKANA,ARKANSAS,3,96.1,67.3,86.8,99.7,60.1,82.3,92.8,63.2,80.8
WESTMEMPHIS,ARKANSAS,3,94.5,59,83.1,109.2,59.2,87.3,93,66.8,82.4
ALHAMBRA,CALIFORNIA,3,103.6,130.4,112.2,93.5,130.2,109.6,97,127.8,109.5
ANAHEIM,CALIFORNIA,3,83.9,130.1,98.7,96.3,132.4,112.1,99.1,124.9,109.6
BAKERSFIELD,CALIFORNIA,3,100.4,130.2,110,100.3,123.6,110.5,98.5,124.1,108.9
BERKELEY,CALIFORNIA,3,91.3,131.8,104.3,102.3,154.3,125.1,100.1,151.5,121
EUREKA,CALIFORNIA,3,92.5,131.6,105.1,99.2,148.7,120.9,102.2,134.1,115.2
FRESNO,CALIFORNIA,3,83.1,130.9,98.5,89.9,131.8,108.3,97.7,128.9,110.4
INGLEWOOD,CALIFORNIA,3,102.2,130.4,111.3,94.1,131.7,110.6,94.8,128,108.3
LONGBEACH,CALIFORNIA,3,101.4,130.4,110.7,94.3,131.7,110.7,96.5,128,109.3
LOSANGELES,CALIFORNIA,3,101.1,130.5,110.5,91.6,133.2,109.8,102,129.6,113.2
MARYSVILLE,CALIFORNIA,3,92.5,131,104.9,98.5,139.5,116.5,101.5,131.4,113.7
MODESTO,CALIFORNIA,3,95.9,131,107.2,97.9,138.6,115.7,99.8,130.9,112.5
MOJAVE,CALIFORNIA,3,101.6,130.3,110.8,94.9,121.6,106.6,95.2,123.8,106.9
OAKLAND,CALIFORNIA,3,93.4,134.3,106.5,100.7,154.3,124.2,100.1,151.6,121.1
OXNARD,CALIFORNIA,3,99.7,130.1,109.5,97.6,131.2,112.3,97.4,125.4,108.8
PALMSPRINGS,CALIFORNIA,4,97.1,130.3,107.8,95.5,132.2,111.6,97,125.4,108.5
PALOALTO,CALIFORNIA,4,91.3,134.3,105.1,99.9,155.7,124.4,96.1,154.5,119.8
PASADENA,CALIFORNIA,4,104.5,130.4,112.8,92.9,130.2,109.2,95,127.8,108.3
REDDING,CALIFORNIA,4,90.3,131,103.4,115.9,139.5,126.3,105.7,131.4,116.2
RICHMOND,CALIFORNIA,4,91.3,134.2,105.1,100.9,154.3,124.3,99.3,145.5,118.1
RIVERSIDE,CALIFORNIA,4,94.4,130.1,105.9,96.4,132,112,98.9,124.9,109.5
SACRAMENTO,CALIFORNIA,4,85.6,131,100.2,106.5,141.2,121.7,97,132.8,111.6
SALINAS,CALIFORNIA,4,100.4,131.5,110.4,95.5,145.8,117.5,99,137.6,114.7
SANBERNARDINO,CALIFORNIA,4,94.4,130.3,105.9,94.7,133.2,111.6,94.2,125.8,107.1
SANDIEGO,CALIFORNIA,4,101.1,130.2,110.4,98.6,122.2,108.9,102.4,122.2,110.4
SANFRANCISCO,CALIFORNIA,4,101.8,134.5,112.3,109.1,157.3,130.3,105,160.3,127.5
SANJOSE,CALIFORNIA,4,83.8,134.3,100,95.3,155.7,121.8,102.3,154.3,123.5
SANLUISOBISPO,CALIFORNIA,4,101.6,130.3,110.8,95.7,130.3,110.9,98.3,125,109.2
SANMATEO,CALIFORNIA,4,91.3,134.4,105.2,100.5,155.2,124.5,98.3,152.6,120.4
SANRAFAEL,CALIFORNIA,4,91.6,131.9,104.6,105,154.8,126.8,101.4,148.8,120.7
SANTAANA,CALIFORNIA,4,97.4,130.3,108,96,132.3,111.9,96.6,125.6,108.4
SANTABARBARA,CALIFORNIA,4,99.7,130.3,109.5,95,131.3,110.9,96.9,124.5,108.1
SANTACRUZ,CALIFORNIA,4,104.3,131.5,113,95,147.6,118,104.6,137.8,118.1
SANTAROSA,CALIFORNIA,5,93.2,131.9,105.6,96.4,153.7,121.5,100.6,146.4,119.2
STOCKTON,CALIFORNIA,5,95.9,131,107.2,98.4,137.9,115.7,100,131.6,112.8
SUSANVILLE,CALIFORNIA,5,90.3,131,103.4,118.6,139.5,127.8,104.9,131.4,115.7
VALLEJO,CALIFORNIA,5,92.8,131.8,105.3,102.7,154,125.2,97.4,141.6,115.4
VANNUYS,CALIFORNIA,5,104.5,130.4,112.8,94.3,130.2,110,98.1,127.8,110.2
ALAMOSA,COLORADO,5,97.9,65.1,87.4,108.7,65.4,89.7,100.6,68.8,87.7
BOULDER,COLORADO,5,97.4,69.7,88.5,106.2,74.7,92.4,96.5,77.4,88.8
COLORADOSPRINGS,COLORADO,5,97,69.4,88.1,107.1,69.4,90.6,98.8,71.8,87.9
DENVER,COLORADO,5,101.4,69.5,91.1,106.7,72.3,91.6,103.1,75.3,91.8
DURANGO,COLORADO,5,97.9,65.1,87.4,108.7,65.6,89.8,101.2,65.2,86.6
FORTCOLLINS,COLORADO,5,97.5,66.8,87.6,106.6,70.8,90.9,99.7,73.9,89.2
FORTMORGAN,COLORADO,5,97.6,65.6,87.3,106.1,69,89.8,97.1,72.3,87
GLENWOODSPRINGS,COLORADO,5,97.3,65.5,87.1,108.5,67.7,90.6,100.9,66.5,86.9
GOLDEN,COLORADO,5,97.6,65.6,87.3,107.3,70.5,91.1,98.3,72.8,87.9
GRANDJUNCTION,COLORADO,5,97.5,66.7,87.6,107.6,69.3,90.8,102.9,70.6,89.8
GREELEY,COLORADO,5,97.4,66.8,87.6,105.8,70.8,90.4,97,73.9,87.6
MONTROSE,COLORADO,5,97.3,65.3,87,108.6,66.7,90.3,99.6,65.9,85.9
PUEBLO,COLORADO,5,94,69.5,86.1,107.1,68.4,90.1,99.5,70.6,87.7
SALIDA,COLORADO,6,97.1,65.1,86.9,107.6,65.6,89.2,100.2,69.4,87.6
BRIDGEPORT,CONNECTICUT,6,104.6,141.5,116.5,103.1,120.4,110.7,98.3,115.2,105.2
BRISTOL,CONNECTICUT,6,104.6,141.5,116.5,103.3,117.7,109.6,97.7,115.4,104.9
HARTFORD,CONNECTICUT,6,99.8,141.5,113.2,110.8,119.3,114.5,99.3,115.9,106.1
MERIDEN,CONNECTICUT,6,104.6,141.5,116.5,103.3,117.7,109.6,96.2,113.9,103.4
NEWBRITAIN,CONNECTICUT,6,104.6,141.5,116.5,103.3,117.7,109.6,97,115.4,104.5
NEWHAVEN,CONNECTICUT,6,104.6,141.5,116.5,103.4,117.4,109.5,98.6,115.1,105.3
NEWLONDON,CONNECTICUT,6,82,141.5,101.1,103.1,117.4,109.4,94.1,114,102.2
NORWALK,CONNECTICUT,6,104.6,141.6,116.5,103.3,120.9,111,97.9,115.4,105
STAMFORD,CONNECTICUT,6,104.6,141.6,116.5,103.3,120.9,111,98,115.8,105.3
WATERBURY,CONNECTICUT,6,104.6,141.5,116.5,103.3,117.7,109.6,98,115.1,105
WILLIMANTIC,CONNECTICUT,6,104.6,141.5,116.5,103.4,116.9,109.3,97.8,114.3,104.5
WASHINGTON,DC,6,101,90.6,97.7,104.9,86.9,97,102.7,88.5,96.9
DOVER,DELAWARE,6,99.6,118.7,105.7,104.5,114.1,108.7,99.4,110.6,103.9
NEWARK,DELAWARE,6,98.4,118.7,104.9,107.7,112.3,109.7,98.1,110.6,103.2
WILMINGTON,DELAWARE,6,99.4,118.7,105.6,103.2,114.1,108,98.9,111.1,103.8
DAYTONABEACH,FLORIDA,6,90.9,60.2,81,101.2,63.8,84.8,97.9,69.1,86.2
FORTLAUDERDALE,FLORIDA,6,89.8,61.5,80.7,106.3,60,86,97.3,67.8,85.3
FORTMYERS,FLORIDA,7,90.8,73.3,85.1,106,60.5,86.1,97.5,65.4,84.4
GAINESVILLE,FLORIDA,7,96.3,59.6,84.5,101.5,60.9,83.7,99.1,62.8,84.3
JACKSONVILLE,FLORIDA,7,90.9,59.6,80.8,101.5,61.9,84.1,97.7,66.9,85.2
LAKELAND,FLORIDA,7,93,76.3,87.6,105.9,61.6,86.5,98.1,65.5,84.8
MELBOURNE,FLORIDA,7,91.9,67.2,83.9,101.7,62.9,84.7,101.1,70.8,88.8
MIAMI,FLORIDA,7,100.4,61.5,87.9,105.2,64.6,87.4,97.5,70.1,86.4
ORLANDO,FLORIDA,7,101,63.6,89,108,65.5,89.4,99.7,66.5,86.2
PANAMACITY,FLORIDA,7,94.9,64.4,85.1,101.8,62.1,84.4,99.4,67,86.2
PENSACOLA,FLORIDA,7,97.2,65.3,87,101.7,60.9,83.8,101.8,64.6,86.7
SARASOTA,FLORIDA,7,92.9,71,85.9,101.1,61.6,83.8,100,64.1,85.3
ST.PETERSBURG,FLORIDA,7,93,73.4,86.7,106.2,60.5,86.2,101.2,65.6,86.7
TALLAHASSEE,FLORIDA,7,101.2,59.7,87.9,99.4,63.8,83.8,99,66.9,86
TAMPA,FLORIDA,7,89.8,76.3,85.5,106.6,62,87,99,67.4,86.2
WESTPALMBEACH,FLORIDA,7,92.3,53.6,79.8,106,59.4,85.6,96,62.6,82.4
ALBANY,GEORGIA,7,92.5,70.1,85.3,102.8,67,87.1,97.6,70.7,86.6
ATHENS,GEORGIA,7,92.3,58.8,81.6,92.7,63.6,79.9,97.8,62.4,83.4
ATLANTA,GEORGIA,7,101,71.6,91.5,93.7,72.4,84.4,102.2,75.4,91.3
AUGUSTA,GEORGIA,7,92.5,69.3,85.1,92.4,69.2,82.2,98.1,72.2,87.6
COLUMBUS,GEORGIA,8,93.3,70.2,85.9,102.6,68.5,87.7,97.5,72.2,87.2
DALTON,GEORGIA,8,92.1,56.4,80.6,94,65.2,81.3,99.8,66.4,86.2
GAINESVILLE,GEORGIA,8,92.3,58.8,81.5,92.7,62.9,79.6,98.5,62.9,84
MACON,GEORGIA,8,94.5,70.2,86.7,101.4,69.1,87.2,95.9,72.7,86.4
SAVANNAH,GEORGIA,8,100.8,69.3,90.7,99.7,69.4,86.4,98.2,71.9,87.5
STATESBORO,GEORGIA,8,91.9,66,83.6,92.7,65.5,80.7,99.8,70.3,87.8
VALDOSTA,GEORGIA,8,94.9,59.3,83.5,102.9,67.7,87.5,97.5,70.2,86.4
WAYCROSS,GEORGIA,8,94.9,55.3,82.2,102.6,65.7,86.4,97.5,67.4,85.2
HILO,HAWAII,8,93.9,119.3,102.1,117.3,115.8,116.6,114.8,115,114.9
HONOLULU,HAWAII,8,107.2,119.3,111.1,133.5,117.7,126.6,119.3,115.8,117.9
"STATES&POSS.,GUAM",HAWAII,8,157.3,42.9,120.5,136.8,68,106.6,136.6,61.9,106.2
BOISE,IDAHO,8,92.8,74.5,86.9,99.8,85.3,93.5,99.5,78.3,90.9
COEURD¡¯ALENE,IDAHO,8,97,100.7,98.2,148.8,83.5,120.2,104.3,86,96.9
IDAHOFALLS,IDAHO,8,93.9,74.6,87.7,98.5,79.6,90.2,98.5,79.9,90.9
LEWISTON,IDAHO,8,97,100.5,98.1,149.2,82.4,119.9,104.7,85.6,97
POCATELLO,IDAHO,8,93,74.5,87,99.2,76.1,89.1,100.5,78.2,91.4
TWINFALLS,IDAHO,8,94.1,74.3,87.7,100,82.7,92.5,101,78.1,91.7
BLOOMINGTON,ILLINOIS,8,99.9,95.3,98.4,96.4,105.3,100.3,93.4,103,97.3
CARBONDALE,ILLINOIS,9,102.4,96.2,100.4,93.4,93.8,93.6,92.7,102.7,96.8
CENTRALIA,ILLINOIS,9,102.4,96.8,100.6,93.5,103.4,97.8,93,104.1,97.5
CHAMPAIGN,ILLINOIS,9,99.9,94.6,98.2,97.3,107.1,101.6,96.7,103.8,99.6
CHICAGO,ILLINOIS,9,99,151.6,115.9,88.7,149.6,115.4,98.5,144.8,117.3
DECATUR,ILLINOIS,9,100.1,99.5,99.9,98.9,111,104.2,96.9,107.1,101.1
EASTST.LOUIS,ILLINOIS,9,102.4,103,102.6,93.4,110.7,101,94,109,100.1
EFFINGHAM,ILLINOIS,9,103,87.3,98,98.4,101.1,99.6,95.4,102.5,98.3
GALESBURG,ILLINOIS,9,99.6,98.3,99.2,96.7,102,99,94.1,102.5,97.5
JOLIET,ILLINOIS,9,109.3,140.8,119.4,94.4,147.1,117.5,95.1,143.9,115
KANKAKEE,ILLINOIS,9,109.7,125.7,114.8,93.4,129.2,109.1,92.1,126.3,106
LASALLE,ILLINOIS,9,99.7,123.7,107.4,97.2,113.6,104.4,94.6,119.3,104.7
NORTHSUBURBAN,ILLINOIS,9,109.3,138.7,118.8,94.7,136.8,113.2,95.3,134.1,111.1
PEORIA,ILLINOIS,9,97.2,104.5,99.5,97.6,112.7,104.2,96,109.8,101.6
QUINCY,ILLINOIS,9,102.8,80.2,95.6,98.3,99.6,98.9,96.2,98.7,97.2
ROCKISLAND,ILLINOIS,9,99.6,92.1,97.2,96.7,91.2,94.3,93.4,93.2,93.3
ROCKFORD,ILLINOIS,9,91.4,136.5,105.9,100.6,133.5,115,95.1,129.5,109.1
SOUTHSUBURBAN,ILLINOIS,9,109.3,138.7,118.8,94.7,137.9,113.6,95.3,135.7,111.7
SPRINGFIELD,ILLINOIS,9,99.9,99.6,99.8,104.2,113.5,108.3,98,107.9,102
ANDERSON,INDIANA,10,101.2,82,95,111.3,73.5,94.7,94,78.7,87.8
BLOOMINGTON,INDIANA,10,92,85.1,89.8,97.3,76.4,88.1,96.7,79.6,89.7
COLUMBUS,INDIANA,10,92.5,83,89.4,96.7,74.3,86.9,95,77.6,87.9
EVANSVILLE,INDIANA,10,100.6,97.4,99.6,101.8,82.8,93.5,94.2,85.4,90.7
FORTWAYNE,INDIANA,10,101.2,79.7,94.3,111,78,96.6,94.6,78.7,88.2
GARY,INDIANA,10,101.2,109.9,104,110.2,100.4,105.9,95.2,103.1,98.4
INDIANAPOLIS,INDIANA,10,100.6,85.5,95.8,101.2,81.4,92.5,97.9,83.2,91.9
KOKOMO,INDIANA,10,91.5,83.3,88.9,110.5,74.2,94.6,91.8,78,86.2
LAFAYETTE,INDIANA,10,92,83.2,89.2,96.6,76.6,87.8,94.6,78,87.8
LAWRENCEBURG,INDIANA,10,91.7,76.2,86.8,100.1,73.7,88.5,91.4,76.4,85.3
MUNCIE,INDIANA,10,101.8,82,95.5,99.6,74.8,88.7,95.3,77.2,87.9
NEWALBANY,INDIANA,10,92.6,78.6,88.1,91.7,71.2,82.7,92.8,74.5,85.3
SOUTHBEND,INDIANA,10,99.7,81,93.7,109,77.8,95.3,97.4,81.7,91
TERREHAUTE,INDIANA,10,100.6,82.1,94.7,101.9,77.8,91.3,95,80.9,89.3
WASHINGTON,INDIANA,10,93.1,83,89.9,102,80.2,92.4,92.9,82.8,88.8
BURLINGTON,IOWA,10,95.1,91,93.8,100.4,71.4,87.7,94.5,79.2,88.3
CARROLL,IOWA,10,95.8,79.9,90.7,100.5,73,88.4,94.1,77.4,87.3
CEDARRAPIDS,IOWA,10,95.8,97.1,96.2,101.6,79,91.7,97.1,84.4,91.9
COUNCILBLUFFS,IOWA,11,97.7,82.6,92.9,100.5,73.4,88.6,97.3,79.9,90.2
CRESTON,IOWA,11,90.1,79.9,86.8,109.8,76.1,95,93.7,79.1,87.7
DAVENPORT,IOWA,11,95.8,97.6,96.4,101,91,96.6,96.1,94.2,95.3
DECORAH,IOWA,11,95.1,79.3,90,100.6,64.8,84.9,95.1,69.3,84.6
DESMOINES,IOWA,11,99.3,100.2,99.6,101.8,86.2,94.9,95.9,91,93.9
DUBUQUE,IOWA,11,94.4,78.9,89.5,100.9,74.6,89.3,95.7,78.7,88.7
FORTDODGE,IOWA,11,90.1,79.3,86.6,109.1,60.4,87.8,93.2,69.3,83.4
MASONCITY,IOWA,11,90,79.3,86.5,108.7,65.3,89.7,93.1,69.5,83.5
OTTUMWA,IOWA,11,95.1,91.2,93.9,101.2,65.1,85.4,94.9,74,86.4
SHENANDOAH,IOWA,11,97.7,79.9,92,99.9,67.9,85.9,94.9,77,87.6
SIBLEY,IOWA,11,97.7,79.2,91.8,100.1,51.1,78.6,95.2,58.7,80.4
SIOUXCITY,IOWA,11,95.8,95.7,95.8,101,69.4,87.2,96.8,78.3,89.3
SPENCER,IOWA,11,97.7,79.2,91.8,101.1,51.7,79.5,96.5,58.5,81.1
WATERLOO,IOWA,11,90.7,79.3,87,109.2,75.4,94.4,95.2,76.5,87.6
BELLEVILLE,KANSAS,11,102.8,97.4,101,99.1,59.1,81.6,95.6,67.6,84.2
COLBY,KANSAS,11,111.5,97.4,106.9,105.1,61.3,85.9,96,70.1,85.5
DODGECITY,KANSAS,11,108.7,97.2,105,104.9,65.1,87.5,97.4,73.2,87.5
EMPORIA,KANSAS,11,101.3,97.5,100.1,97,69.8,85.1,94,72.4,85.2
FORTSCOTT,KANSAS,12,100.6,93.8,98.4,98.4,67.5,84.8,94.2,72.3,85.3
HAYS,KANSAS,12,108.7,97.4,105.1,105.4,59.8,85.4,95.3,68.8,84.5
HUTCHINSON,KANSAS,12,108.7,97.4,105.1,103.6,60.3,84.6,91.6,68.2,82.1
INDEPENDENCE,KANSAS,12,108.1,93.8,103.5,105.3,69.4,89.6,96.1,71.9,86.3
KANSASCITY,KANSAS,12,97.8,103.8,99.7,97.1,98.4,97.7,95.7,98.8,97
LIBERAL,KANSAS,12,110.3,97.1,106,105.5,57.1,84.3,95.4,68,84.2
SALINA,KANSAS,12,108.1,97.3,104.6,104.3,60.6,85.1,96.1,72,86.3
TOPEKA,KANSAS,12,99.4,98.8,99.2,103.2,82.4,94.1,97.1,76.4,88.7
WICHITA,KANSAS,12,100.3,101,100.5,102.6,61.4,84.5,96.1,71.9,86.2
ASHLAND,KENTUCKY,12,93.2,89.2,91.9,91.6,82.6,87.7,91.8,84.2,88.7
BOWLINGGREEN,KENTUCKY,12,91.3,77.4,86.8,91.6,75.6,84.6,93.4,76.5,86.5
CAMPTON,KENTUCKY,12,92.1,86.6,90.4,102,62.9,84.8,93.1,74.6,85.6
CORBIN,KENTUCKY,12,90.5,85.9,89,96.6,64.4,82.5,89.9,73.3,83.2
COVINGTON,KENTUCKY,12,91.4,73.2,85.5,100.2,67.5,85.9,92.8,73.3,84.9
ELIZABETHTOWN,KENTUCKY,12,91.7,77.9,87.3,91,63.5,78.9,90.3,71.7,82.7
FRANKFORT,KENTUCKY,12,99.1,78.3,92.4,95.9,71.3,85.1,94.8,76.9,87.5
HAZARD,KENTUCKY,12,92.6,86.1,90.5,101.8,64.5,85.4,92.5,75.2,85.5
HENDERSON,KENTUCKY,12,91.4,78.5,87.2,101.1,76.7,90.4,90.5,76.8,84.9
LEXINGTON,KENTUCKY,13,99.4,84.8,94.7,97.1,75.7,87.7,92.6,76.9,86.2
LOUISVILLE,KENTUCKY,13,98.6,84.8,94.1,94.3,73.4,85.2,93.9,77.9,87.4
OWENSBORO,KENTUCKY,13,91.4,78,87.1,101.8,79.6,92.1,92.9,80,87.7
PADUCAH,KENTUCKY,13,91.9,76.7,87.1,101.2,76.6,90.4,90.7,78,85.5
PIKEVILLE,KENTUCKY,13,93.7,89.1,92.2,92.7,74.6,84.8,94.1,80.1,88.4
SOMERSET,KENTUCKY,13,91.7,86.1,89.9,101,66.7,86,90.5,74.8,84.1
ALEXANDRIA,LOUISIANA,13,98,52.6,83.4,100.1,64.2,84.4,93.5,63.3,81.2
BATONROUGE,LOUISIANA,13,99.6,52.7,84.5,95.5,66.7,82.9,95.8,67.2,84.2
HAMMOND,LOUISIANA,13,94.5,50.7,80.4,94.6,61.5,80.1,91.8,62.2,79.8
LAFAYETTE,LOUISIANA,13,95.9,50.7,81.4,95.4,65.1,82.1,93.8,64.5,81.9
LAKECHARLES,LOUISIANA,13,95.9,52.6,82,95.1,66.2,82.4,94,66.9,83
MONROE,LOUISIANA,13,96.9,52.6,82.7,100,63.7,84.1,93.3,63.3,81.1
NEWORLEANS,LOUISIANA,13,100,52.9,84.9,93.6,68.8,82.7,98.8,68.6,86.5
SHREVEPORT,LOUISIANA,13,99.6,51.7,84.2,98.1,65.8,84,95.4,65.8,83.3
THIBODAUX,LOUISIANA,13,94.5,50.7,80.4,95,62.4,80.7,93.9,63.6,81.6
AUGUSTA,MAINE,13,99.9,81.2,93.9,106.1,98.7,102.8,99.6,84.5,93.5
BANGOR,MAINE,13,85.2,81.4,84,104,100.2,102.3,94.5,84.2,90.3
BATH,MAINE,13,84.4,81,83.3,103.8,96.5,100.6,93.2,82.9,89
HOULTON,MAINE,14,85.2,81,83.9,104.1,96.5,100.8,93.2,82.8,88.9
KITTERY,MAINE,14,85.3,81.1,83.9,106.7,96.5,102.2,91.6,83.3,88.2
LEWISTON,MAINE,14,104.7,81.4,97.2,103.8,100.2,102.2,95.8,85.2,91.5
MACHIAS,MAINE,14,85.2,81,83.9,104,96.5,100.7,93,82.8,88.9
PORTLAND,MAINE,14,98.8,81.5,93.2,109,101.8,105.8,98.1,87.3,93.7
ROCKLAND,MAINE,14,85.2,81,83.9,103.7,96.5,100.5,92.4,82.9,88.5
WATERVILLE,MAINE,14,85.2,81,83.9,104,96.5,100.7,93.2,82.8,89
ANNAPOLIS,MARYLAND,14,99.1,88.4,95.7,105.2,79,93.8,99.6,81.8,92.3
BALTIMORE,MARYLAND,14,101,91.3,97.9,105.5,83.6,95.9,101.5,83.7,94.2
COLLEGEPARK,MARYLAND,14,98.4,98.1,98.3,103.9,76.9,92,97.3,84,91.9
CUMBERLAND,MARYLAND,14,88.3,87,87.9,101.2,78.9,91.4,95.2,81.6,89.7
EASTON,MARYLAND,14,87.5,81.2,85.5,101.4,69.6,87.4,96.8,70.9,86.2
ELKTON,MARYLAND,14,87.5,109.2,94.5,100.9,75.2,89.6,94.3,81,88.9
HAGERSTOWN,MARYLAND,14,88.3,87.1,87.9,101.4,83.4,93.5,95.8,86.3,91.9
SALISBURY,MARYLAND,14,87.5,60.7,78.9,101.9,65.1,85.8,97.5,63.5,83.6
SILVERSPRING,MARYLAND,14,97.8,98,97.9,106.1,81.4,95.2,96.8,83.2,91.2
WALDORF,MARYLAND,14,98.5,98,98.3,106.8,81.4,95.6,98.1,83,91.9
BOSTON,MASSACHUSETTS,14,101.6,151.6,117.6,106.5,138.9,120.7,98.5,134.5,113.1
BROCKTON,MASSACHUSETTS,15,99.4,140.9,112.7,102.5,123.5,111.7,96.1,114.7,103.7
BUZZARDSBAY,MASSACHUSETTS,15,79.7,118.5,92.1,101.3,120.3,109.6,90.4,111.2,98.9
FALLRIVER,MASSACHUSETTS,15,99.4,118.6,105.5,102.2,120.2,110.1,95.7,113,102.8
FITCHBURG,MASSACHUSETTS,15,82,132.7,98.3,101.7,116.3,108.1,92.5,110.2,99.7
FRAMINGHAM,MASSACHUSETTS,15,82,140.7,100.8,101.9,121.3,110.4,92.2,119.3,103.2
GREENFIELD,MASSACHUSETTS,15,83.8,118.1,94.8,101.7,106.6,103.8,93.9,106.7,99.1
HYANNIS,MASSACHUSETTS,15,79.7,118.6,92.1,101.6,122.7,110.9,92.8,113.9,101.4
LAWRENCE,MASSACHUSETTS,15,101.4,138.6,113.3,102.5,124.2,112,96.8,121.7,106.9
LOWELL,MASSACHUSETTS,15,102.3,138.3,113.9,102.3,125.3,112.4,96,123.1,107
NEWBEDFORD,MASSACHUSETTS,15,99.4,118.5,105.5,102.2,119.8,109.9,95.4,113.3,102.7
PITTSFIELD,MASSACHUSETTS,15,83.2,114.8,93.4,102.3,103.1,102.6,95.8,102.4,98.5
SPRINGFIELD,MASSACHUSETTS,15,102.3,118.1,107.4,102.3,108,104.8,96.8,107.9,101.3
WORCESTER,MASSACHUSETTS,15,102.3,145.3,116.1,102.3,119.3,109.7,96.7,115.6,104.4
ANNARBOR,MICHIGAN,15,97.9,102.4,99.3,111.5,97.1,105.2,95.6,99.5,97.2
BATTLECREEK,MICHIGAN,15,95.3,79.7,90.3,103.8,76.7,91.9,94.6,78.2,87.9
BAYCITY,MICHIGAN,15,97.9,101.7,99.1,109.2,81.6,97.1,95.1,84.1,90.7
DEARBORN,MICHIGAN,15,97.9,103.7,99.7,110.3,104.6,107.8,95.5,103.4,98.7
